,Unnamed: 0,total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
0,0,334.8329,370.3728313167557,-1652.1462,16742.436269212685,548.0974597198859,1887.6624293827,-1462.3,6121.993024322962,565.04,3704.795588077018,2.0,0.01,10000,1000,10,1
11,11,388.0459,401.51987372132646,-1526.472,15489.740874651594,548.3457196062527,1968.265532275401,-1430.6,5747.8900010305,499.4,3560.5318954810496,2.1,0.01,10000,1000,10,1
22,22,437.68,425.6480431060385,-1488.4101,16155.805368517798,530.0963404425356,2035.6725953460848,-1513.48,7378.826397029527,529.12,5709.118621043262,2.2,0.01,10000,1000,10,1
33,33,482.7297,443.9189858948477,-1390.5081,15781.16062218469,487.4429976453306,2064.9876361944976,-1380.04,6603.040633902028,384.24,4031.169638611793,2.3,0.01,10000,1000,10,1
44,44,522.8398,456.7219223290688,-1545.7527,20907.238535762248,444.37066339250345,2074.187068395052,-1432.36,7899.391423957096,433.66,5971.40827410734,2.4,0.01,10000,1000,10,1
55,55,556.9073,465.54445019429664,-1419.3792,19883.20571201601,393.3521681248729,2056.757278745549,-1319.42,7970.0855133372925,281.32,4524.138132305867,2.5,0.01,10000,1000,10,1
66,66,585.459,470.37433998784417,-1453.6449,21077.73289091088,340.994658403276,2014.994520967796,-1447.84,9642.72459153298,234.42,4093.133596385999,2.6,0.01,10000,1000,10,1
77,77,608.2111,472.5742125177695,-1350.0486,22469.264643459068,277.22449886358714,1950.6114638287029,-1209.68,8305.237624222409,202.98,4701.752627199429,2.7,0.01,10000,1000,10,1
88,88,627.0278,471.8111215594224,-1231.3674,22124.06661722898,229.31925265087816,1889.669551740264,-1209.06,9025.283790061629,179.58,4924.556848043788,2.8,0.01,10000,1000,10,1
99,99,642.8278,469.5238127583733,-1109.6892,18788.560737759104,186.56410174191697,1792.836878656897,-1018.42,7340.955092204732,198.16,5505.582236056036,2.9,0.01,10000,1000,10,1
110,110,655.7167,466.39520091989584,-1048.1508,17584.090309511626,158.7631022052454,1668.49786222863,-909.5,5827.925378848132,155.38,5276.773018516988,3.0,0.01,10000,1000,10,1
121,121,666.9395,462.9979633213844,-1085.1138,18989.8234078086,128.16454093013616,1563.8393911680876,-1046.3,8110.987062072788,45.18,2798.0453308278147,3.1,0.01,10000,1000,10,1
132,132,678.7775,458.9273140637306,-1207.8909,22144.189049153767,120.14624390121756,1464.491099192184,-1101.78,8783.832899346413,23.92,1979.386680455104,3.2,0.01,10000,1000,10,1
143,143,688.3003,455.2910622007751,-991.008,16996.483554060716,105.14818441518727,1361.5142279002428,-985.2,7408.852412446001,112.22,4572.5666215103765,3.3,0.01,10000,1000,10,1
154,154,696.4484,451.9005055733397,-863.3358,10681.921264830084,88.81665591158479,1291.05147536807,-907.14,6020.9738608487,58.98,3243.864612674601,3.4000000000000004,0.01,10000,1000,10,1
165,165,705.3377,448.057361125459,-838.9602,10296.901909550728,73.14694317754059,1202.4290996418845,-974.52,7122.310825901246,87.0,3996.17065926792,3.5,0.01,10000,1000,10,1
