c_v,beta_star,beta_star_sd,v,N,T,ind_reps,iters_per_rep
3.0,1.3954900173519977,0.006618798191403729,0.3,1000,10,10,500
3.5,1.403348856964448,0.006409334863474023,0.3,1000,10,10,500
4.0,1.4104763439935735,0.0062854248530434,0.3,1000,10,10,500
4.5,1.4173713147471558,0.00605362675357727,0.3,1000,10,10,500
5.0,1.4239882396493064,0.00596529990505977,0.3,1000,10,10,500
5.5,1.4301728878761586,0.0058279000786243896,0.3,1000,10,10,500
6.0,1.436243906383418,0.005692876437815579,0.3,1000,10,10,500
6.5,1.441987677032783,0.005617881571817555,0.3,1000,10,10,500
7.0,1.4477499138001364,0.005497938312458883,0.3,1000,10,10,500
7.5,1.4536309669539003,0.0053339113939123405,0.3,1000,10,10,500
8.0,1.459007510082846,0.005269040368111598,0.3,1000,10,10,500
8.5,1.464174905474394,0.005064249233068814,0.3,1000,10,10,500
9.0,1.469496667051687,0.005000842408139396,0.3,1000,10,10,500
9.5,1.4745877656972293,0.004894031620321547,0.3,1000,10,10,500
10.0,1.4791996859192147,0.00483831931510412,0.3,1000,10,10,500
10.5,1.484256079979129,0.004851313130195045,0.3,1000,10,10,500
11.0,1.4887843218929668,0.0047466245358378945,0.3,1000,10,10,500
11.5,1.4932743979862262,0.00483987354527309,0.3,1000,10,10,500
12.0,1.4981713261791354,0.004793118046668044,0.3,1000,10,10,500
12.5,1.5026046967858662,0.0047657359636628415,0.3,1000,10,10,500
13.0,1.5069027137354758,0.004718922749664759,0.3,1000,10,10,500
13.5,1.510919716374807,0.004744245935996576,0.3,1000,10,10,500
14.0,1.5150928382479965,0.004759707255173489,0.3,1000,10,10,500
14.5,1.5195103636949558,0.004760458050608327,0.3,1000,10,10,500
15.0,1.5235943314520792,0.004822454738584328,0.3,1000,10,10,500
