c_v,beta_star,beta_star_sd,v,N,T,ind_reps,iters_per_rep
3.0,1.348781939518032,0.007072916380766717,0.3,1000,10,10,500
3.5,1.3566577562740978,0.006778189268607094,0.3,1000,10,10,500
4.0,1.3636993341602401,0.0064905726566987605,0.3,1000,10,10,500
4.5,1.3706310034496512,0.006149843409956952,0.3,1000,10,10,500
5.0,1.3770426545018084,0.005998419337137719,0.3,1000,10,10,500
5.5,1.3832325220304995,0.00566620607622711,0.3,1000,10,10,500
6.0,1.3893034122171193,0.00550686447780593,0.3,1000,10,10,500
6.5,1.3953230620658996,0.005306494396837413,0.3,1000,10,10,500
7.0,1.4010829860542524,0.005160034888728156,0.3,1000,10,10,500
7.5,1.4066394560104534,0.00503085349114813,0.3,1000,10,10,500
8.0,1.4122301353179023,0.004929802995972047,0.3,1000,10,10,500
8.5,1.4170609844201651,0.004931068807726653,0.3,1000,10,10,500
9.0,1.4223746333124876,0.004814004033227501,0.3,1000,10,10,500
9.5,1.4270017077470276,0.004675712212725772,0.3,1000,10,10,500
10.0,1.4315682845186086,0.00459156420331526,0.3,1000,10,10,500
10.5,1.4358917232815567,0.004716556509906441,0.3,1000,10,10,500
11.0,1.4401553997670047,0.004605594267729187,0.3,1000,10,10,500
11.5,1.444735905297589,0.004570202282948713,0.3,1000,10,10,500
12.0,1.4489677490075548,0.004495155178784295,0.3,1000,10,10,500
12.5,1.4530815751246169,0.004422396851736245,0.3,1000,10,10,500
13.0,1.4577642694503958,0.0043636410783911,0.3,1000,10,10,500
13.5,1.4618317746305565,0.004310425450540917,0.3,1000,10,10,500
14.0,1.4653986464221238,0.004232825569574905,0.3,1000,10,10,500
14.5,1.4690954026499745,0.00434819427573445,0.3,1000,10,10,500
15.0,1.472606613654732,0.00432147594802886,0.3,1000,10,10,500
