total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
333.1867,369.3727280716729,-1451.547,13202.21705251437,546.5043937355758,1881.021662705315,-1425.5,5941.026454202418,545.15,1278.1789904599298,2.0,0.01,10000,1000,10,1
279.5488,328.0041039660327,-1137.861,6270.666500772895,483.40146823426346,1628.3739003606925,-1239.52,3851.17142201333,521.032,1151.978871554531,2.0,0.05,10000,1000,10,1
217.9324,275.6236670357609,-1283.5152,11413.833714645378,397.73144617312175,1324.7084186706504,-1153.74,3857.687414451664,451.054,916.5029224419769,2.0,0.1,10000,1000,10,1
163.7047,224.86916662341685,-1006.1928,6897.739848278537,316.0520402601999,1055.6095197759964,-961.96,3053.383250318789,378.24,740.7411505682768,2.0,0.15,10000,1000,10,1
118.0868,177.06394908552107,-886.2129,4913.229106259819,237.52646295040344,816.6634556965138,-803.42,2312.6986749501352,304.55,636.261440260241,2.0,0.2,10000,1000,10,1
82.7142,134.8848409509386,-597.402,3346.5035988371064,173.0188280756784,611.2381875634836,-618.4,2244.1330293245387,223.12,443.05437061102526,2.0,0.25,10000,1000,10,1
55.5009,99.016494581408,-465.4341,3823.587130576692,117.46927260794176,432.43954333365514,-459.32,1803.9596904189589,159.746,384.8949855466941,2.0,0.3,10000,1000,10,1
35.8804,69.9659481164945,-284.1156,2078.676219452941,76.20531953608793,297.96636759549233,-308.14,1244.138468359871,106.036,271.2649722550209,2.0,0.35,10000,1000,10,1
22.8329,47.86266371181195,-188.2116,1432.6896892209422,47.88803358227212,200.4634949427414,-191.98,840.4917145529889,65.638,191.04110192904204,2.0,0.4,10000,1000,10,1
14.5777,32.0395687035578,-157.9419,2217.1492239794165,28.96043688738385,127.36791539023807,-126.72,745.8831515509495,36.856,127.11872867960139,2.0,0.45,10000,1000,10,1
9.4206,20.876328595804388,-74.7252,901.4758067457909,16.885247996477418,80.43141025021112,-78.02,497.109234835902,21.374,89.96711361466042,2.0,0.5,10000,1000,10,1
6.2048,13.31483597195249,-39.96,769.5927628961114,9.465550391225051,47.53183407064001,-41.44,287.4491069718427,12.056,65.55518753127951,2.0,0.55,10000,1000,10,1
4.3168,8.539381579482205,-23.976,337.9447988839439,5.313671492211025,28.366853546651814,-27.24,238.5281366363237,5.37,32.656235897211076,2.0,0.6,10000,1000,10,1
3.1709,5.460063478568725,-17.1828,301.8787108422288,2.9453200201233978,16.712297046475673,-18.24,145.92269098112988,3.106,22.926956373074322,2.0,0.65,10000,1000,10,1
2.4761,3.56295225760885,-10.7892,177.82909571295752,1.6621395632162685,8.571091168743235,-11.04,103.49487677635011,1.768,14.122822714037772,2.0,0.7,10000,1000,10,1
2.0063,2.3575962991996744,-6.8931,142.1756901339906,0.9576198915729699,4.863824755623684,-8.96,99.32122064537388,0.96,8.964732937665481,2.0,0.75,10000,1000,10,1
1.6619,1.5485439580457507,-6.6933,118.44161716549497,0.524254355276771,2.494513898488314,-5.04,53.505931339140766,0.61,5.985940456462529,2.0,0.8,10000,1000,10,1
1.4368,1.0732221391678427,-4.1958,85.83903247538167,0.31183995592741504,1.4911812594937273,-4.78,49.5317770698162,0.31,3.386007457855116,2.0,0.85,10000,1000,10,1
1.2494,0.6783801589079681,-3.0969,62.313733723241576,0.15390776368811818,0.7382655730680648,-3.44,32.56182469154216,0.156,2.013968621145994,2.0,0.9,10000,1000,10,1
1.1105,0.38482431056262545,-2.997,64.67642920762945,0.06055773969830547,0.3080111566095445,-2.46,25.41678581764677,0.076,1.4402886666027457,2.0,0.95,10000,1000,10,1
1.0196,0.1463415183739734,-2.2977,47.857621231116255,0.01027619486279902,0.09156102326039883,-1.96,19.904723555025328,0.01,0.4471241348878405,2.0,0.99,10000,1000,10,1
386.5146,400.5599413157037,-1435.1634,12650.591312944909,547.3777660170516,1963.2992590616095,-1432.44,5784.114560114144,499.786,1295.4625646963532,2.1,0.01,10000,1000,10,1
329.955,361.2584683782513,-1341.5571,10634.712876939231,502.1814358790833,1726.5159860245685,-1311.84,4626.007329088539,504.578,1250.7741944589968,2.1,0.05,10000,1000,10,1
263.3521,309.9832958815523,-1319.1795,8892.059799755509,431.7575903842396,1433.848787967672,-1220.46,3773.9170146365614,463.632,1040.0496617498081,2.1,0.1,10000,1000,10,1
202.2017,257.98247812033674,-1089.5094,6403.060069352529,351.330033749605,1158.1806044768516,-1086.82,3260.7878743267147,398.154,823.1086824194649,2.1,0.15,10000,1000,10,1
149.2784,207.80370423416423,-931.6674,5632.804289409807,275.3900069770579,913.8961580634918,-991.86,3058.0125710154375,331.398,676.8030229166999,2.1,0.2,10000,1000,10,1
105.6427,160.92826301402127,-804.6945,6072.092949078429,203.7671043551904,695.764758762791,-759.34,2637.327115439301,251.402,500.6737678550593,2.1,0.25,10000,1000,10,1
72.1974,120.26039594662906,-547.8516,2987.085424407998,143.6172656765018,506.92501425383205,-566.98,1951.9012965483544,184.474,411.84135860117965,2.1,0.3,10000,1000,10,1
46.6701,85.83301035143764,-437.2623,3677.4428589030126,93.73969930530764,352.66083415021404,-391.56,1501.842308443847,132.54,341.2434806869007,2.1,0.35,10000,1000,10,1
29.6843,59.34358628790477,-269.2305,2074.67577007224,59.816467223553,239.59988283990185,-271.9,1181.0291583984279,76.934,210.0613534689856,2.1,0.4,10000,1000,10,1
18.4785,39.56427855717832,-168.5313,1551.2773080751763,36.26622288349536,155.37408813586816,-172.48,743.2266734912163,46.562,160.1487587166752,2.1,0.45,10000,1000,10,1
11.6333,25.72824578376847,-100.6992,1194.037889837503,21.08555949451523,96.15123414969071,-102.18,579.4728867536843,24.58,93.05766799655628,2.1,0.5,10000,1000,10,1
7.4425,16.30735704367817,-72.4275,917.0841888750991,11.830066633841142,58.556865772254696,-61.42,409.0285002678947,14.046,65.99019135095347,2.1,0.55,10000,1000,10,1
4.9145,10.030901741618248,-43.4565,667.8017499419065,6.202588441060751,32.55467143838259,-35.4,265.9960815341819,7.77,46.78339415430287,2.1,0.6,10000,1000,10,1
3.5175,6.391313929858242,-30.6693,518.3110347758255,3.4716069912777567,19.614250519039558,-23.7,199.73557377178204,3.778,26.49673420805608,2.1,0.65,10000,1000,10,1
2.6528,4.019633336512175,-19.3806,354.0975244891228,1.8580962569891886,9.451988371332915,-12.58,97.7686016569072,2.118,21.934497674184875,2.1,0.7,10000,1000,10,1
2.1051,2.5886394090332474,-9.7902,193.9906003373925,1.0336587242669892,5.146170041067454,-8.64,78.47270988451757,1.118,9.838686699737805,2.1,0.75,10000,1000,10,1
1.7221,1.692711313248659,-6.6933,144.27578516621742,0.5679976274608475,2.78509816059487,-6.2,55.65851046316904,0.568,5.933034307132309,2.1,0.8,10000,1000,10,1
1.4677,1.1256805541537973,-2.3976,63.13995707678273,0.317936186680172,1.4864940321904268,-4.42,41.09297340478448,0.36,4.04376497876921,2.1,0.85,10000,1000,10,1
1.2667,0.7124402501262825,-5.7942,99.73681361242174,0.15835454954669087,0.7631603915297506,-3.64,33.74706337488705,0.218,2.8130530259368864,2.1,0.9,10000,1000,10,1
1.1175,0.40061671208275873,-2.0979,53.75956402969118,0.061819544150032824,0.31337688244059353,-2.86,28.211699523406953,0.058,1.247714582413749,2.1,0.95,10000,1000,10,1
