c_beta,beta_star,beta_star_sd,v,N,T,t
1,1.25304943476077,0.00324414102271724,0.3,1000,10,1
1.26315789473684,1.26604353371479,0.00241803670585181,0.3,1000,10,1
1.52631578947368,1.27823025216642,0.00191946224592037,0.3,1000,10,1
1.78947368421053,1.28758165346203,0.00118815516499003,0.3,1000,10,1
2.05263157894737,1.29783856707711,0.000809314905501648,0.3,1000,10,1
2.31578947368421,1.30609610557552,0.000346933190507329,0.3,1000,10,1
2.57894736842105,1.31566075053328,0.000309698742842539,0.3,1000,10,1
2.84210526315789,1.32359655625578,0.000433225894439666,0.3,1000,10,1
3.10526315789474,1.33120070070557,0.000642934397966541,0.3,1000,10,1
3.36842105263158,1.3380088925068,0.000958691351153287,0.3,1000,10,1
3.63157894736842,1.34447834203856,0.00125789696806699,0.3,1000,10,1
3.89473684210526,1.35180579732826,0.00136816073846953,0.3,1000,10,1
4.15789473684211,1.35890259841647,0.00142436930765604,0.3,1000,10,1
4.42105263157895,1.36507694891378,0.00159009929739568,0.3,1000,10,1
4.68421052631579,1.37058944529303,0.00179380398715385,0.3,1000,10,1
4.94736842105263,1.37616610417396,0.00195732128423833,0.3,1000,10,1
5.21052631578947,1.38234252140831,0.00199807442089008,0.3,1000,10,1
5.47368421052632,1.38806311321713,0.00204627803211785,0.3,1000,10,1
5.73684210526316,1.39410628482794,0.00202493779323609,0.3,1000,10,1
6,1.39898298373777,0.00216295327434737,0.3,1000,10,1
