c_v,v_star,v_star_sd,beta,beta_conf,N,T
1.0,0.8734268996305717,0.0009742681151577719,5,10,1000,10
1.183673469387755,0.8713008982678051,0.000772048329233983,5,10,1000,10
1.3673469387755102,0.8672201120905256,0.0011676882532524438,5,10,1000,10
1.5510204081632653,0.864623784255594,0.0009065360730196641,5,10,1000,10
1.7346938775510203,0.8635938925215726,0.0009007159531318102,5,10,1000,10
1.9183673469387754,0.8584469339966982,0.001582858271389517,5,10,1000,10
2.1020408163265305,0.8554913967326048,0.0011581936500289541,5,10,1000,10
2.2857142857142856,0.8543332725446099,0.0012658362418755962,5,10,1000,10
2.4693877551020407,0.8522883348529445,0.001536200748898842,5,10,1000,10
2.6530612244897958,0.8513834001711758,0.0012589997137203717,5,10,1000,10
2.836734693877551,0.8482028496765016,0.0013641407159720863,5,10,1000,10
3.0204081632653064,0.8466463675090428,0.001632659917055549,5,10,1000,10
3.2040816326530615,0.8451571985477013,0.0023456233463132917,5,10,1000,10
3.3877551020408165,0.8430673559411804,0.0018285539706100523,5,10,1000,10
3.5714285714285716,0.843061795371437,0.0022542716292107954,5,10,1000,10
3.7551020408163267,0.8417002139925644,0.0011925583903719859,5,10,1000,10
3.938775510204082,0.839814758349226,0.001616665126837242,5,10,1000,10
4.122448979591837,0.8374049934550802,0.0012400521075894564,5,10,1000,10
4.3061224489795915,0.8368853783814492,0.001220807461611051,5,10,1000,10
4.4897959183673475,0.8371913966090944,0.0015909101783397339,5,10,1000,10
4.673469387755102,0.8352266292260289,0.001392846149046903,5,10,1000,10
4.857142857142858,0.8349579140484149,0.0015993954010892506,5,10,1000,10
5.040816326530613,0.8327573394420666,0.001000983421818008,5,10,1000,10
5.224489795918368,0.8317363470662513,0.0014605491683687712,5,10,1000,10
5.408163265306123,0.8311374832347701,0.0009099300427537092,5,10,1000,10
5.591836734693878,0.8304910550333033,0.0018708546181736194,5,10,1000,10
5.775510204081633,0.829763153507565,0.0007244712851234504,5,10,1000,10
5.959183673469388,0.8282922163451231,0.0018578105384145075,5,10,1000,10
6.142857142857143,0.8271018087697677,0.002000733181051318,5,10,1000,10
6.326530612244898,0.8269482696937022,0.0033207357832855987,5,10,1000,10
6.510204081632653,0.8244138142029902,0.0022613579185488445,5,10,1000,10
6.6938775510204085,0.8245055264495029,0.0017527446281650671,5,10,1000,10
6.877551020408164,0.82349927000816,0.0018177692793588487,5,10,1000,10
7.061224489795919,0.8228376840374203,0.0021132827587374533,5,10,1000,10
7.244897959183674,0.8220541551966951,0.001976198935295204,5,10,1000,10
7.428571428571429,0.8210771278972283,0.0021934189381601333,5,10,1000,10
7.612244897959184,0.818870012156675,0.002220301302797969,5,10,1000,10
7.795918367346939,0.8167717148518706,0.0017348244421918474,5,10,1000,10
7.979591836734694,0.8193488223815468,0.0019179275648204192,5,10,1000,10
8.16326530612245,0.8181661241979403,0.0024862004915988454,5,10,1000,10
8.346938775510203,0.816660684133596,0.0016718057752883545,5,10,1000,10
8.53061224489796,0.8174139312576905,0.002501996785675599,5,10,1000,10
8.714285714285715,0.8150575986194974,0.0009593991986215079,5,10,1000,10
8.89795918367347,0.8150417812344981,0.001323316594214567,5,10,1000,10
9.081632653061225,0.8147668230103111,0.0015731254984587988,5,10,1000,10
9.26530612244898,0.8134782600067844,0.0018142291438915678,5,10,1000,10
9.448979591836736,0.8132309243767036,0.0013777163189903018,5,10,1000,10
9.63265306122449,0.812768310800681,0.002087549857505241,5,10,1000,10
9.816326530612246,0.8118633042130046,0.0013563156836467315,5,10,1000,10
10.0,0.8110301676862657,0.002555156521763068,5,10,1000,10
