N,v,beta,T,i0,eps,J_v,J_beta,time_v,time_beta
50,0.01,1,5,1,0.001,"-8.644224589133387","7.958296712621937",0.458004,0.437680
50,0.01,1,10,1,0.001,"-11.135451771659532","9.890720989942814",0.447565,0.461151
50,0.01,1,15,1,0.001,"-11.219489488300649","9.946258414958109",0.457572,0.467780
50,0.01,1,20,1,0.001,"-11.2202351566153","9.946697674394489",0.475123,0.477198
50,0.01,2,5,1,0.001,"-42.75233804661127","15.607506306658081",0.446950,0.441668
50,0.01,2,10,1,0.001,"-51.81593174802046","16.484272706909664",0.467839,0.446400
50,0.01,2,15,1,0.001,"-52.109515670959894","16.46162669890927",0.475583,0.450285
50,0.01,2,20,1,0.001,"-52.115450768672744","16.461405312449884",0.485075,0.470849
50,0.01,4,5,1,0.001,"-51.3883319842563","4.042162279120021",0.442679,0.459147
50,0.01,4,10,1,0.001,"-49.82815130247076","3.2953415296752553",0.472811,0.445758
50,0.01,4,15,1,0.001,"-49.80735091890409","3.289407182982984",0.448396,0.451045
50,0.01,4,20,1,0.001,"-49.807208183224816","3.2893600605810036",0.466637,0.465836
50,0.01,8,5,1,0.001,"-49.11231201504407","0.8023368130096742",0.431854,0.436169
50,0.01,8,10,1,0.001,"-49.019825917337556","0.7835110470892914",0.443529,0.443554
50,0.01,8,15,1,0.001,"-49.01979860347794","0.7835077286841852",0.455890,0.456412
50,0.01,8,20,1,0.001,"-49.0197985866736","0.7835077271813873",0.470899,0.468364
50,0.01,16,5,1,0.001,"-49.00554673007562","0.19578164436140355",0.432568,0.436127
50,0.01,16,10,1,0.001,"-49.002039880374326","0.19543080654926825",0.447902,0.444283
50,0.01,16,15,1,0.001,"-49.00203985589613","0.1954308050002851",0.487984,0.456828
50,0.01,16,20,1,0.001,"-49.00203985589613","0.1954308050002851",0.469684,0.476002
50,0.3,1,5,1,0.001,"-4.589325889760243","3.0630240525701957",0.446342,0.440277
50,0.3,1,10,1,0.001,"-5.032256428949333","3.3191132489049924",0.456805,0.456567
50,0.3,1,15,1,0.001,"-5.03653028975215","3.3212672782905184",0.465010,0.466390
50,0.3,1,20,1,0.001,"-5.036539317231359","3.321271351969912",0.474570,0.471387
50,0.3,2,5,1,0.001,"-24.52741344107201","7.067625653388809",0.436338,0.435345
50,0.3,2,10,1,0.001,"-29.85124097148173","8.049279746958682",0.450356,0.445568
50,0.3,2,15,1,0.001,"-29.962954055768876","8.063215508776977",0.457686,0.471878
50,0.3,2,20,1,0.001,"-29.963542698268064","8.063273442821206",0.569112,0.471703
50,0.3,4,5,1,0.001,"-52.38278700019272","4.493834678884312",0.439435,0.509153
50,0.3,4,10,1,0.001,"-53.33685668982646","4.017473997114607",0.453744,0.458253
50,0.3,4,15,1,0.001,"-53.347909562839746","4.010610597186215",0.467526,0.506108
50,0.3,4,20,1,0.001,"-53.34805343044202","4.010584431918929",0.476280,0.467958
50,0.3,8,5,1,0.001,"-49.519897499360255","0.8428889266749451",0.464567,0.431688
50,0.3,8,10,1,0.001,"-49.20906513623535","0.7957131211533408",0.444341,0.448936
