beta,v,N,size,dv,db
2.0,0.01,1000,619.8476166768767,-1508.1761714179386,436.62339651344115
2.1,0.01,1000,660.9449329851053,-1486.9993506252547,386.27829720661754
2.2,0.01,1000,697.2895873190366,-1463.2568680261927,341.5157781940473
2.3,0.01,1000,729.4208459258738,-1438.2500606237604,301.9333539528914
2.4,0.01,1000,757.8326762984601,-1412.864704050653,267.043075296536
2.5,0.01,1000,782.9690490802031,-1387.6990059185164,236.34118671165123
2.6,0.01,1000,805.2243676404389,-1363.1508109502329,209.34420584626602
2.7,0.01,1000,824.9464693489194,-1339.4776839685478,185.60608806664555
2.8,0.01,1000,842.4407640586878,-1316.8387118866572,164.7248431103938
2.9,0.01,1000,857.9747171558505,-1295.3238324622093,146.34340585577135
3.0,0.01,1000,871.782253231257,-1274.9745584221644,130.1475198688953
3.1,0.01,1000,884.0678678626607,-1255.7987068198836,115.862210286782
3.2,0.01,1000,895.0103551725198,-1237.7809148515223,103.24773454078174
3.3,0.01,1000,904.7661258092384,-1220.8901707725424,92.0954979562373
3.4000000000000004,0.01,1000,913.4721259614672,-1205.0852156400213,82.2241875065163
3.5,0.01,1000,921.2483859701756,-1190.318417162345,73.47624200587043
3.6,0.01,1000,928.2002347326885,-1176.5385415565227,65.71470039118579
3.7,0.01,1000,934.4202179326576,-1163.6927272900432,58.820427590401415
3.8,0.01,1000,939.9897568593018,-1151.727878946867,52.68969560476218
3.9,0.01,1000,944.9805817652518,-1140.5916388744113,47.23208736420916
4.0,0.01,1000,949.4559702603966,-1130.233051093825,42.36868758062253
2.0,0.05,1000,559.2295889052992,-1522.1367208047898,443.4001479296255
2.1,0.05,1000,601.0931773910312,-1505.1995280748733,394.6887496571897
2.2,0.05,1000,638.3306418517832,-1484.459793003109,350.8664370459864
2.3,0.05,1000,671.4233944182574,-1461.5178690770633,311.74720921954474
2.4,0.05,1000,700.8256437128683,-1437.4827409251823,276.9929000691953
2.5,0.05,1000,726.9541721387534,-1413.1208387758186,246.20424987931074
2.6,0.05,1000,750.1849927503768,-1388.9578778877253,218.97115047806264
2.7,0.05,1000,770.853744626104,-1365.3493649722657,194.89931559168448
2.8,0.05,1000,789.2580132583755,-1342.529915114885,173.6233593217018
2.9,0.05,1000,805.6605340356599,-1320.6480592028006,154.81211110586224
3.0,0.05,1000,820.2926885925891,-1299.7910033053897,138.16958818251035
3.1,0.05,1000,833.3579691771639,-1280.0023583109082,123.43363587683837
3.2,0.05,1000,845.0352419090398,-1261.2949060032645,110.37341212314428
3.3,0.05,1000,855.4817305201082,-1243.6598313540158,98.78639674733537
3.4000000000000004,0.05,1000,864.83569416762,-1227.0734202705223,88.49531032040476
3.5,0.05,1000,873.2188018231329,-1211.5019275226882,79.34515123526316
3.6,0.05,1000,880.7382209325388,-1196.905116011199,71.20045535502787
3.7,0.05,1000,887.4884451529236,-1183.23882649897,63.9428216273237
3.8,0.05,1000,893.5528884058003,-1170.4568369326096,57.46871228426301
3.9,0.05,1000,899.0052722974232,-1158.512199506721,51.687517239480094
4.0,0.05,1000,903.9108323798587,-1147.358192864446,46.519862710342515
2.0,0.1,1000,482.80829042478325,-1533.3018416474915,448.58168352898053
2.1,0.1,1000,525.3477983688354,-1523.6121226529071,402.8110057232291
2.2,0.1,1000,563.4978333426154,-1508.1761714179388,360.84578224251334
2.3,0.1,1000,597.6487401971375,-1489.054155705115,322.826086929333
2.4,0.1,1000,628.1910081942383,-1467.6994172396264,288.641028050594
2.5,0.1,1000,655.4968478319648,-1445.1388102169644,258.0512325453212
2.6,0.1,1000,679.9112210070887,-1422.0967357683812,230.75993891709783
2.7,0.1,1000,701.7483296442158,-1399.0814851487726,206.45370629248038
2.8,0.1,1000,721.2911948350917,-1376.445995462523,184.8250718147085
2.9,0.1,1000,738.7929188560871,-1354.431012380173,165.58448009864475
3.0,0.1,1000,754.478795196398,-1333.196015755705,148.46587299457897
3.1,0.1,1000,768.5487759548432,-1312.8415434525348,133.2285848878833
3.2,0.1,1000,781.1800137805658,-1293.4254105652058,119.65714241503736
3.3,0.1,1000,792.5293211193245,-1274.9745584221644,107.55993377594652
3.4000000000000004,0.1,1000,802.7354651500915,-1257.4937502443645,96.7673264911283
3.5,0.1,1000,811.9212618956336,-1240.9719752569695,87.12957595303975
