c_v,v_star,v_star_se,beta,N,T,ind_reps,iters_per_rep
3.0,0.8246186398698852,0.0018725755235801049,5,1000,10,10,500
3.5,0.8163454108424366,0.002076881130735656,5,1000,10,10,500
4.0,0.8146968085689043,0.0014000044639835025,5,1000,10,10,500
4.5,0.8103062621474985,0.0017234385785307924,5,1000,10,10,500
5.0,0.8073305913314073,0.001801012901004021,5,1000,10,10,500
5.5,0.7966779134530657,0.0022360039916452922,5,1000,10,10,500
6.0,0.80133652191216,0.0021669141634602655,5,1000,10,10,500
6.5,0.7956757007538104,0.001459873797847488,5,1000,10,10,500
7.0,0.7942497626679204,0.0017004401335752115,5,1000,10,10,500
7.5,0.7953642860423432,0.003111479923053956,5,1000,10,10,500
8.0,0.7900664646026956,0.002224177130508042,5,1000,10,10,500
8.5,0.7892129322858799,0.0026023800270730674,5,1000,10,10,500
9.0,0.785476724235221,0.0017511421040361,5,1000,10,10,500
9.5,0.7840422729480692,0.0021874599152081034,5,1000,10,10,500
10.0,0.7830822671365876,0.0017314417113070205,5,1000,10,10,500
10.5,0.7832236150388924,0.002675230872789458,5,1000,10,10,500
11.0,0.7810038435621856,0.0025374441797389687,5,1000,10,10,500
11.5,0.7760579703375571,0.001437267259918384,5,1000,10,10,500
12.0,0.7740258145396893,0.0024069581891332605,5,1000,10,10,500
12.5,0.775365333854167,0.002691572463369325,5,1000,10,10,500
13.0,0.7746910607458284,0.002214222351434296,5,1000,10,10,500
13.5,0.772487504838703,0.0022349126716192224,5,1000,10,10,500
14.0,0.7714468843855851,0.002144758980955608,5,1000,10,10,500
14.5,0.7668825217049361,0.0027759991825912827,5,1000,10,10,500
15.0,0.7610488414252761,0.002464313454522173,5,1000,10,10,500
