c_v,v_star,v_star_sd,beta,N,T,ind_reps,iters_per_rep
3.0,0.8453877647093397,0.001989645217757479,5,1000,10,10,500
3.5,0.8450003725531635,0.0025946780636152494,5,1000,10,10,500
4.0,0.841565247297944,0.0019942120354506814,5,1000,10,10,500
4.5,0.8374897301721189,0.0019713740469981386,5,1000,10,10,500
5.0,0.8321999515127132,0.0022798374630461126,5,1000,10,10,500
5.5,0.8301840357676682,0.002228797154791141,5,1000,10,10,500
6.0,0.8257133787063831,0.0028436746117674106,5,1000,10,10,500
6.5,0.8269216985713548,0.0027204374029811958,5,1000,10,10,500
7.0,0.8221775541644117,0.0022395789168316357,5,1000,10,10,500
7.5,0.8239467906426459,0.0028739574169690456,5,1000,10,10,500
8.0,0.8176992193038366,0.002488505538356313,5,1000,10,10,500
8.5,0.8182087756200627,0.002936463128175016,5,1000,10,10,500
9.0,0.8160632500150087,0.0016716038943862582,5,1000,10,10,500
9.5,0.8107505926808113,0.0018904706857707984,5,1000,10,10,500
10.0,0.8129893528305379,0.00263416026193107,5,1000,10,10,500
10.5,0.8099406372150864,0.0014348077083172635,5,1000,10,10,500
11.0,0.8107102985932757,0.0016534261662984168,5,1000,10,10,500
11.5,0.8095434253733119,0.0033634843063395903,5,1000,10,10,500
12.0,0.8010072886918949,0.0034318707811042083,5,1000,10,10,500
12.5,0.8003914335411458,0.0025529312681722197,5,1000,10,10,500
13.0,0.8008551735107396,0.0037253570919135847,5,1000,10,10,500
13.5,0.7932911626347012,0.00218595244963195,5,1000,10,10,500
14.0,0.7957548473399327,0.0013362771201140323,5,1000,10,10,500
14.5,0.7929947074560687,0.003429041382119446,5,1000,10,10,500
15.0,0.793885196782132,0.0024378937714740496,5,1000,10,10,500
