beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.01,2.0,328.87396422859166,14.305042742170802,-1044.954,89.5637129191158,319.4295,2.8837243765314136,20000
10,10,1000,1,10,0.01,2.1,331.40745780271425,14.511937704926419,-993.3057,81.51384723834934,352.45135,2.991593607640339,20000
10,10,1000,1,10,0.01,2.2,329.22905183220803,14.492658430942997,-999.04995,86.34409655493678,385.41765,3.0821448865650303,20000
10,10,1000,1,10,0.01,2.3,323.58998844018987,14.387965295706278,-1075.37355,105.10737579491196,415.60695,3.152719484047404,20000
10,10,1000,1,10,0.01,2.4,312.37948892501555,14.18891862473671,-1043.6553,91.9536696449204,442.48585,3.208051033659004,20000
10,10,1000,1,10,0.01,2.5,308.5668007875903,13.955059440343337,-1044.40455,90.748424292822,468.6402,3.2470812253502683,20000
10,10,1000,1,10,0.01,2.6,293.8172698325254,13.67127755431589,-999.6993,87.47018488139908,493.91105,3.273117414908219,20000
10,10,1000,1,10,0.01,2.7,265.73522468225906,13.40168928707805,-1096.15275,112.51742321103951,516.3205,3.2923749012850934,20000
10,10,1000,1,10,0.01,2.8,256.68455751938257,13.179068208966822,-1259.1396,135.05731262245754,538.8248,3.3006811168363037,20000
10,10,1000,1,10,0.01,2.9,233.47113266841652,12.95986267387343,-1043.3556,100.20973201369688,558.18215,3.306476610071138,20000
10,10,1000,1,10,0.01,3.0,220.4384015768109,12.75333144666784,-1116.53235,115.4885205403182,576.22495,3.3038009409478266,20000
10,10,1000,1,10,0.01,3.1,218.00921072221388,12.549985696081821,-1062.1368,100.69713507736914,593.3488,3.2965852583614885,20000
10,10,1000,1,10,0.01,3.2,207.49744747248081,12.155568045893837,-1216.782,126.10184121909855,609.3912,3.2860279003830906,20000
10,10,1000,1,10,0.01,3.3,198.95318733144143,11.840483341835006,-1318.03065,151.02668432727202,623.624,3.273385949438089,20000
10,10,1000,1,10,0.01,3.4000000000000004,185.1804905875123,11.649434813505046,-1370.2284,155.56296384274006,637.1077,3.2591901771860523,20000
10,10,1000,1,10,0.01,3.5,172.18398648418236,11.460039503745907,-1455.3432,175.50520844341122,649.74015,3.242211043103344,20000
10,10,1000,1,10,0.01,3.6,155.8164270600787,11.17273338627443,-1115.23365,114.50471809522166,660.9093,3.2242415767685224,20000
10,10,1000,1,10,0.01,3.7,142.89713059449176,10.809202084152792,-1294.1046,158.5302553808941,672.8303,3.2013635894001604,20000
10,10,1000,1,10,0.01,3.8,124.44244409796195,10.514538923747244,-987.36165,88.63854778926982,682.73475,3.181370832776439,20000
10,10,1000,1,10,0.01,3.9,117.53232545266391,10.254185852144653,-1168.58025,132.29337823940506,693.2198,3.1578620748921575,20000
10,10,1000,1,10,0.01,4.0,107.01049201188316,10.077079842690406,-868.6305,65.7206853935115,702.3207,3.1354924323326245,20000
10,10,1000,1,10,0.05,2.0,304.6207074762834,13.191456979587336,-892.6065,68.7078865225922,283.282,2.7086976004963246,20000
10,10,1000,1,10,0.05,2.1,306.0810047085715,13.472645240527358,-920.92815,74.44018017039298,315.16965,2.8273032832783707,20000
10,10,1000,1,10,0.05,2.2,308.45672950494765,13.503970468792062,-1009.93905,84.73593868620331,345.59105,2.9231548064028328,20000
10,10,1000,1,10,0.05,2.3,304.6167893311081,13.433627583309438,-1092.25665,94.1289464287518,374.47995,3.003214717570468,20000
10,10,1000,1,10,0.05,2.4,294.8863140787126,13.304952540723194,-970.4286,81.58217486073691,402.21475,3.066021717320415,20000
10,10,1000,1,10,0.05,2.5,290.61236725697745,13.153239505985518,-970.97805,78.28588275145984,426.31745,3.113100016600903,20000
10,10,1000,1,10,0.05,2.6,280.19651481626863,12.948107869449547,-1076.07285,99.1268148165416,449.5676,3.146763882571845,20000
10,10,1000,1,10,0.05,2.7,267.33222755270634,12.80861102337543,-1131.91695,112.12206176239059,472.10705,3.1723373686816334,20000
10,10,1000,1,10,0.05,2.8,251.05384098279782,12.582079145652303,-1121.82705,115.54958703812034,493.0278,3.1886221988398606,20000
10,10,1000,1,10,0.05,2.9,237.81793303100105,12.382598602337328,-1114.9839,102.83355284045928,513.56585,3.1992033974581533,20000
10,10,1000,1,10,0.05,3.0,226.35995788570088,12.189865649163297,-1110.4884,113.79877789765943,531.51415,3.202889187116239,20000
10,10,1000,1,10,0.05,3.1,213.6371171277978,11.887222775877254,-1130.5683,113.57471912902983,548.2784,3.2020168714849495,20000
10,10,1000,1,10,0.05,3.2,206.26809634372793,11.594142925374433,-1067.28165,103.2066487154685,564.0356,3.196865136186847,20000
10,10,1000,1,10,0.05,3.3,195.3381628602202,11.251417153463624,-1084.6143,108.34059813761883,578.3852,3.189411162460268,20000
10,10,1000,1,10,0.05,3.4000000000000004,184.9546469554572,11.019165590295744,-1138.11075,106.44170653338243,592.66,3.1779942829374503,20000
10,10,1000,1,10,0.05,3.5,173.70721808720967,10.762736920528786,-936.11295,78.01706670869845,604.7865,3.165883918740048,20000
10,10,1000,1,10,0.05,3.6,158.35919745604775,10.554011886158344,-1221.62715,138.52829312834075,617.26005,3.1490930123671963,20000
10,10,1000,1,10,0.05,3.7,151.36989186310146,10.251449253873515,-1291.8069,150.56267468931702,628.4905,3.132618165419465,20000
10,10,1000,1,10,0.05,3.8,135.18465667805214,10.010830355715482,-947.7513,74.80248067787052,638.61825,3.1145484498477782,20000
10,10,1000,1,10,0.05,3.9,122.77222224811705,9.766905886188662,-1202.04675,136.55762245860097,648.4278,3.0965505640353723,20000
10,10,1000,1,10,0.05,4.0,112.77937458733501,9.67140602445316,-952.19685,79.71307084558458,657.4109,3.077939113029801,20000
10,10,1000,1,10,0.1,2.0,270.88790605127934,11.917354181481254,-800.0991,48.305909934972675,241.57745,2.491890793365788,20000
10,10,1000,1,10,0.1,2.1,271.7849399579113,12.282044491871252,-862.68645,72.30488776550004,270.06485,2.6139572444567003,20000
10,10,1000,1,10,0.1,2.2,278.1513895506197,12.455162075175869,-974.5245,87.11787060092142,298.3743,2.719606985960178,20000
10,10,1000,1,10,0.1,2.3,269.7746843789956,12.434738972634042,-950.39865,79.87343169687878,324.91375,2.8033581275653034,20000
10,10,1000,1,10,0.1,2.4,264.6212642498688,12.361760173941073,-1160.48835,120.30103025095914,351.41055,2.8771214036452197,20000
10,10,1000,1,10,0.1,2.5,259.2548390144009,12.17481746013495,-1116.53235,107.68576560113844,374.97875,2.932634284583441,20000
10,10,1000,1,10,0.1,2.6,256.3466045609302,11.968077028349496,-1044.30465,100.91351346485717,397.7788,2.97708731917176,20000
10,10,1000,1,10,0.1,2.7,249.95633772868658,11.691879766052775,-968.4306,76.01915891050264,419.6157,3.011208401867508,20000
